agency,role,PL,CL,Life,score,NPS,is_easy,comments,category
22418,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Agree,"It is a relatively easy website to work with, but I would say their are definitely easier that I use.",
2101019,Other,Personal Lines,,,9,Detractor,Somewhat Agree,"RATING ISN'T ALWAYS THE BEST FOR AUTO, CAN'T COMPETE WITH OTHER CARRIERS AND 12 MONTH AUTO POLICIES.",
1601530,Customer Service Representative (CSR),Personal Lines,,,7,Promoter,Somewhat Agree,It is hard just to get in your system cause the policy # has to be entered just so so to pull up a customer,
48,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Nikki Barker is a pleasure to work with.   She makes accommodating our clients a pleasure.,
4380,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Agree,,
2155,Producer,Personal Lines,Commercial Lines,,9,Promoter,Agree,Ease of use of the website,Positive
4867,Principal,Personal Lines,,,10,Promoter,Somewhat Agree,I have and still am proud to represent Grange.  I feel like they are going backwards with their EODB - requesting college diplomas?  I don't even quote it that way just because I think it is crazy absurd - where did the trust in the agent go?  Making more work for all.  I will always recommend them yet I am not happy with even offering (which we will not) stripped down policies - Grange has always been a first class company and I feel like if they just want price they can get it anywhere.  Claims are overwhelmed - we have EXCELLENT adjusters - the cuts they have done ARE making it hard for me to be comfortable that they will receive personal attention in the event of a claim.   NOT looking at water claims anymore?  Wow - they need to keep the personal touch when a claim is turned in and not just told to get 3 estimates - absurd and very non-caring.  Customers WANT to see an adjuster - just doesn't make sense.  Cutting expenses in claims is not working.  Please address this.,
3701385,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,System is easy to use. I like the chat feature.    Our underwriter is Great - Trevor Fosnaugh.   Very knowledgeable and always helpful.,
48240,Producer,Personal Lines,Commercial Lines,,9,Neutral,Somewhat Agree,Depends on what line of business...which underwriter we are talking about.  One of my underwriters is not as easy to work with so that makes wanting to place business there a bit more difficult.,
1181,Principal,Personal Lines,Commercial Lines,,7,Neutral,Somewhat Disagree,obtaining commercial package quotes and any commercial interaction that requires interaction is cumbersome,
4106,Producer,Personal Lines,,Life,9,Neutral,Strongly Agree,Very easy to do business with and excellent rates,
14388,Principal,Personal Lines,Commercial Lines,,8,Promoter,Strongly Agree,,
21290,Customer Service Representative (CSR),,Commercial Lines,,4,Detractor,Neither Agree nor Disagree,not enough business,
1601415,Customer Service Representative (CSR),,Commercial Lines,,3,Detractor,Neither Agree nor Disagree,,
1066,Producer,Personal Lines,Commercial Lines,,4,Promoter,Agree,"Even though things change, I have personnel available to me if I have questions or concerns and they are always remedied promptly.",Positive
74,Customer Service Representative (CSR),Personal Lines,,,6,Detractor,Somewhat Agree,"rates are not really competitive lately.  Recently having an issue with liability coverage because of a dog that does not specifically say has to be excluded because of breed in the underwriting guidelines, and it was placed with you 5 years ago.",
1201425,Producer,,,Life,9,Neutral,Strongly Agree,writing life insurance is very easy. the way it shows all of the possible choices save lots of time,
4843,Producer,Personal Lines,,Life,10,Promoter,Agree,"Easy to understand quoting, I have Grange personally. I enjoy contacting my underwriter, she is always helpful.",Positive
21307,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,"For small commercial lines, I am able to issue new business quotes and issue endorsements more effectively than other carriers.  Also a feature that I really enjoy is the live chat function when processing changes and issuing new business.  keep the premiums down and I'll always use Grange to be in the running.",
45023,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Great Company,
4776,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Somewhat Agree,We love Grange and it is fairly easy to recommend and sell.  It is hard to do business since there are too many different plans/products.,
4043,Principal,Personal Lines,,Life,8,Detractor,Somewhat Disagree,"ON TOTAL LOSS AUTO CLAIMS, GRANG IS THE MOST DIFFICULT COMPANY I REPRESENT TO DEAL WITH. THEY ARE NORMALLY MUCH LOWER FOR SETTLEMENT THAN ANY OTHER COMPANY.",
21253,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,Good service,Positive
22188,Producer,,Commercial Lines,,8,Neutral,Agree,Online rating is easy and intuitive. Underwriting support is very good,Positive
22773,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Strongly Agree,"Our underwriter, Lori Klotz is so amazing to work with!",
48795,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,I believe they are a good company and are easy to work with.,Positive
3295,Producer,Personal Lines,,,4,Detractor,Neither Agree nor Disagree,I don't like Grange's billing screen.  It is difficult to understand.,
4203,Producer,Personal Lines,,,10,Neutral,Strongly Agree,Being an Agent with Authority is a great perk.,
21296,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Grange's website is very self-explanatory and the customer service is always very helpful when I have a question and need to call.,
4592,Customer Service Representative (CSR),Personal Lines,,,8,Detractor,Neither Agree nor Disagree,"In the days of Grange Mutual (FA autos, SH/HO/GH homes) Grange couldn't be beat as far as EODB.  The new tiering, eligibility guidelines, &  household rating models make Grange less easy to work with.",
302,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,Easy Online System; reps are knowledgeable when calling for assistance; claims service is top notch,
3402092,Principal,Personal Lines,,,9,Neutral,Agree,I've heard some negative comments about your claims handling.,Process
3401366,Principal,Personal Lines,Commercial Lines,,9,Promoter,Strongly Agree,I have always had great success with Grange. The rates are not always the best but ease of doing business and service are excellent,
3401641,Producer,Personal Lines,,,3,Neutral,Neither Agree nor Disagree,The Grange website is one of the most unrealistic sites that we use. You can't just look at a policy. You can't access the household policies without practically starting over. You can't get to the payment screen from a policy. These are all things that most of the other carriers offer.,
22115,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Agree,Your website is not very user friendly.  I have a hard time finding documents such as auto id cards to print for the customer.,
3901171,Customer Service Representative (CSR),Personal Lines,,,5,Detractor,Neither Agree nor Disagree,rates are good most of the time,
1113,Principal,,Commercial Lines,,8,Detractor,Somewhat Disagree,Personal lines rates are too high.  Claims service has declined and commercial underwriter is very difficult to work with!,
3701146,Customer Service Representative (CSR),,Commercial Lines,,7,Promoter,Somewhat Agree,commercial still needs some work IT wise,
4571,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"I love Grange's  Gain Web, Very user friendly. I like Grange's Product. And the Underwriters are great to work with. Diane",
48798,Principal,Personal Lines,Commercial Lines,,9,Neutral,Strongly Agree,Great underwriters and excellent automation,
4501500,Principal,,Commercial Lines,,9,Promoter,Agree,Grange has great policy forms & are very easy to work with,Positive
14388,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,Jenny Urbanek is wonderful to work with and learn from,
6411,Customer Service Representative (CSR),Personal Lines,,Life,9,Promoter,Somewhat Agree,Grange will not allow comp & collision coverage on a salvage title vehicle. This can make it difficult to write new business.,
22403,Producer,Personal Lines,,,9,Neutral,Agree,rates are not always competitive,Pricing
1066,Principal,Personal Lines,Commercial Lines,Life,5,Neutral,Neither Agree nor Disagree,The billing is a night mare!  Bill fees are very high. commercial platform has issues -,
4375,Principal,Personal Lines,,Life,9,Promoter,Somewhat Agree,"some of the new UW rules are too restrictive on auto, some billing features are difficult to work with (especially regarding refunds), overall I enjoy working with Grange and I am very happy with Jaymie Shirkey but claims follow-up is often lacking, and it often takes too many phone calls to get things accomplished. Advertising department is extremely disappointing",
1554,Principal,Personal Lines,,,8,Neutral,Somewhat Agree,"Underwriting good, pricing could be better.",
1301595,Producer,Personal Lines,,,8,Neutral,Agree,"Home is very good, but not so on Auto with anyone having any children on policy.",Positive
48381,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Strongly Agree,Quick response from Underwriter to questions and billing is understandable.  Rates are good.,
6071,Producer,Personal Lines,Commercial Lines,,9,Promoter,Agree,Adequate support from UW team/ marketing rep/ and user friendly website for quoting on demand,Positive
2232,Producer,Personal Lines,,,10,Neutral,Somewhat Agree,"I really like Grange, the systems are awesome the people are even better, but when rates on my clients take a 350 to 400 increase, I have a really difficult time explaining that year after year.  I just had one recently where her home and auto took a little under a $500 increase from the year before.  This had been a State Farm client for 32 years.  Getting the account was tough to begin with.  Now she won't even talk to me.  Not easy on our end as the agent.",
21227,Producer,Personal Lines,,,4,Detractor,Disagree,Rates are not competitive and underwriting is getting a lot more strict.  Not a whole lot of options for my clients.,
48187,Other,,Commercial Lines,,7,Neutral,Somewhat Agree,unknown,
4972,Producer,Personal Lines,Commercial Lines,,9,Neutral,Somewhat Agree,"Communication and timely response is very important. I certainly agree that everyone is busy, I know I am, but in general I have to wait several days or even send a second request email in order to get a response.",
1201146,Principal,Personal Lines,Commercial Lines,Life,10,Detractor,Somewhat Disagree,"Low commissions and great automation that is thwarted by too much underwriter involvement. The system itself would merit a ""strongly agree"" rating.",
3402073,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Very efficient rating system and customer service/underwriting is wonderful!,
2101626,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Strongly Agree,Underwriter is very helpful Kaleb is the best to work with,
181,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Love the website,
4501009,Principal,,Commercial Lines,,8,Promoter,Agree,lot of turnover in underwriting for auto accell,Positive
6135,Producer,Personal Lines,,,8,Promoter,Agree,EASY TO WORK WITH. CUSTOMER SERIVE IS ALWAYS WILLING TO HELP.,Positive
3701411,Principal,Personal Lines,,,5,Neutral,Somewhat Agree,The system Grange uses for address verifcation is horrible. Once i see this pop up i close Grange and write the policy with another company.,
22338,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,"GAIN WEB, UNDERWRITERS AND TECH SUPPORT STAFF ARE VERY ACCESSIBLE AND USER FRIENDLY",
21337,Customer Service Representative (CSR),Personal Lines,,,5,Neutral,Agree,good claim service and fairly easy to use the agent site,Positive
22007,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,The rating system is user friendly and the underwriter is great to work with,
3701028,Producer,Personal Lines,,,8,Promoter,Agree,"I never have problems with Grange, always easy, great claim service.",Positive
1601221,Principal,Personal Lines,,Life,10,Promoter,Strongly Agree,"The prices are competitive, customer service does a great job.",
1301579,Producer,Personal Lines,,,10,Promoter,Strongly Agree,I'm fairly a new agent to Grange. I've had no problem navigating their system and issuing policies.,
48250,Producer,Personal Lines,,,9,Neutral,Strongly Agree,they work with the clients if someone were to have a claim.  their rates are competitive and they offer excellent coverage and benefits.,
48283,Customer Service Representative (CSR),Personal Lines,,,6,Neutral,Somewhat Agree,depends on pricing but I like the product.,
4732,Other,Personal Lines,Commercial Lines,,10,Promoter,Somewhat Agree,Personal lines is great but commercial lines could use some refining. Faster underwriter turn around time and ability to issue without down payments on commercial business please!,
3401597,Principal,Personal Lines,,,10,Promoter,Strongly Agree,,
2101154,Other,Personal Lines,,,4,Detractor,Strongly Disagree,Your rates are not competitive. The underwriting staff is difficult to work with too.,
3401477,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,I love the products that Grange offers.  Easy to do business ... easy to issue & great options,
48211,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Agree,"Easy to work with, underwriters and claims are great.",Positive
4235,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"website is user friendly , customer serivce is wonderful",
48787,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,I like our personal lines underwriter and her support staff.  Your website is easy to navigate on for new business and existing business.  I also like how you can transfer information from one to quote start a new one.,Positive
1201010,Producer,Personal Lines,,,4,Promoter,Agree,"Since the latest updates, between the rate increase, and the system update, I'm not crazy about it. I think Grange is a good company, but they are making it more difficult for the agent to sell.",Pricing
48787,Principal,,Commercial Lines,,8,Promoter,Agree,Our underwriting support is exceptionally good.  Dan Buechel is our underwriter.,Positive
4010,Producer,Personal Lines,,,10,Promoter,Strongly Agree,Grange keeps it very simple. I also have grange for all of my insurance needs.,
4101028,Principal,Personal Lines,,Life,8,Promoter,Agree,sometimes the system gets funky when I try to upload items at the point of sale.,Positive
48135,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,8,Neutral,Agree,Integrity is a good company and easy to work with but premiums are not always inline.,Positive
7,Producer,Personal Lines,,,10,Promoter,Strongly Agree,easy to work with....Nicole Barker is a great underwriter!!,
48168,Principal,Personal Lines,,,10,Neutral,Somewhat Agree,8 not a 10 because Integrity BI limits on PL highest is 500/500. Ease of doing business could be improved with faster response from UW in PL,
4972,Principal,Personal Lines,,,9,Promoter,Somewhat Agree,We have to provide to many proof of items when submitting new policies like proof of prior. There needs to be a little more trust with your top agents,
22441,Producer,Personal Lines,,,9,Promoter,Agree,Good technology. Nice people. Love the online chat with UW.,Positive
22133,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Agree,The website is easy to use and it is quick for a price indication which is fast and easy to sell o the client,Positive
1201367,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,Very good experience in placing business and premiums are very competitive,Positive
3401339,Producer,Personal Lines,,,10,Promoter,Strongly Disagree,Quoting is easy and getting answers from underwriting is also easy.,
3401444,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,"Grange is easy to work with on all levels ie: billing, rating, ease of doing biz",
22088,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,Integrity is an easy to use company with online rating and endorsement programs.,Positive
241,Principal,Personal Lines,Commercial Lines,Life,9,Detractor,Somewhat Disagree,Grange is a good carrier for claims and customer service but rates especially for auto are not good.  The recent big increase on auto rates has forced us to rewrite so many of our Grange policies with other carriers,
4501336,Principal,Personal Lines,,,8,Promoter,Agree,Good system,Positive
1201563,Other,,Commercial Lines,,10,Neutral,Strongly Agree,"Great Service, but limited overages for some industries.",
3901297,Producer,Personal Lines,,,5,Detractor,Somewhat Agree,Rates are not competitive and your system is not user friendly.,
22726,Principal,,Commercial Lines,,10,Promoter,Strongly Agree,I like your system and underwriters are easy to work with.,
21232,Principal,,Commercial Lines,,8,Detractor,Neither Agree nor Disagree,Personal lines are an issue,
4101421,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,Easy to work with,Positive
3701082,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Agree,You guys are easy to use and have good rates,Positive
4501113,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,,
3401833,Customer Service Representative (CSR),Personal Lines,,,8,Promoter,Agree,The needed coverage and premiums are available. The Web Site is user friendly and quoting is fairly easy.,Positive
1259,Other,,Commercial Lines,,8,Promoter,Agree,I have had a good experience handing claims with Grange.,Positive
4799,Other,Personal Lines,,Life,8,Promoter,Agree,Seems like emphasis on EODB is declining,Positive
3401608,Producer,Personal Lines,,,9,Promoter,Strongly Disagree,"Underwriting is always friendly, fast, and fair to respond. Rates are always competitive. Systems are accurate and easy to navigate.",
3401343,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Strongly Agree,Always willing to try to help.,
48528,Producer,Personal Lines,Commercial Lines,,8,Promoter,Agree,Good relationship,Positive
3401890,Producer,Personal Lines,,,9,Promoter,Agree,Grange has a user friendly sight however some of the additional forms that become necessary are cumbersome!,User Design
3701385,Producer,Personal Lines,,,10,Promoter,Agree,Your rating system for PL is easy to use and the chat feature is also helpful when your assigned underwriter is not available. The printed quote is also thorough with displaying coverages that are included in the chosen coverage package.,Positive
48453,Customer Service Representative (CSR),Personal Lines,,,6,Detractor,Somewhat Agree,unsure,
2101254,Producer,,Commercial Lines,,8,Neutral,Agree,Good rating software and favorable previous experiences.,Positive
4821,Producer,Personal Lines,Commercial Lines,Life,9,Neutral,Somewhat Agree,The automation with Grange is great.  We don't have complaints from customers.  Underwriting could be more flexible on personal lines.  Commercial lines has zero flexibility and is difficult to work with.,
21266,Producer,Personal Lines,,,8,Detractor,Disagree,Auto and home rates are not at all competitive in our area,
14754,Principal,,Commercial Lines,,10,Promoter,Strongly Agree,Our underwriter understands our agency!,
3401487,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Agree,if I have to call for an answer I have people that are willing to help me,Positive
4377,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,a,Positive
4454,Principal,Personal Lines,,Life,10,Promoter,Strongly Agree,Ease of use of rating,
1069,Customer Service Representative (CSR),Personal Lines,,,10,Neutral,Neither Agree nor Disagree,Past history of rate fluctuations give me pause. When they are heavy in an area it appears they raise the rates a ridiculous amount to rid themselves of customers.,
1001028,Principal,,Commercial Lines,,6,Neutral,Somewhat Disagree,"First, we have a direct contract with  Grange and so have a vested interest in growing our book with you. The problem is your personal lines rates are out of kilter with the competition and you have no 12 month auto policy.  Also, it seems on C&T cases if the customer does not  have a halo and walk 12 inches off the ground, you will not consider them.  Just wrote a new venture Landscaper/Lawn Maintenance case with Lib Mut. We would  have preferred to place this case with Grange, however the  Grange Underwriter had a problem with some of the operations the guy was  planning to be involved with and rejected  the case, even after the customer decided to discontinue the problem operations.  Lib Mut, based on same info had no problem and we wrote the policy today.",
3401875,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,8,Promoter,Strongly Agree,The rates are very competitive making the product very easy to sell and the service is excellent.,
580,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,Easy to quote/issue new business & changes. Billing easy to understand & like that most everything can be done on website & don't have to call with problems/issues very often.,Positive
1582,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Agree,Good name recognition and ease in quoting,Positive
2101276,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Grange is a great Company,
48283,Customer Service Representative (CSR),,Commercial Lines,,4,Detractor,Somewhat Disagree,They have yet to provide me with a quote when I submit business,
1492,Customer Service Representative (CSR),,Commercial Lines,,9,Neutral,Agree,mostly good,Positive
4501502,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"When I first started working with Grange 3 1/2 years ago, the experience was not always pleasant. The underwriting philosophy was inconsistent with some of our other carriers, service was spotty, and the attitude of some home office CSRs left something to be desired.  That was then.  Not sure what changes have been made, but they're all for the better.  Underwriting is now much more open and agreeable, service has improved considerably, and the experience is generally far, I mean far, more pleasant than it was years ago.  I try to put business with Grange as often as I can, for the reasons above.  Thanks!",
3401671,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,"Not always the lowest premium price, but when they do fit it's a good fit and easy to use.",Positive
22112,Producer,Personal Lines,,,8,Neutral,Agree,"starting to write more with you, finding good value in the coverage's and selection of coverage's offered. easy to quote and issue",Positive
3901149,Producer,Personal Lines,,,8,Detractor,Somewhat Agree,Your rates seem very high recently. Unfortunately you have out priced this market. Not sure if you had a rate increase but quotes are no longer competitive.,
4760,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,connecting with an underwriter immediately when you have an immediate need for a question just doesn't happen often enough.,Positive
3701028,Producer,Personal Lines,,,8,Promoter,Strongly Agree,I have personally been insured with Grange as well as some friends and family members. Have always been pleased and am not sure I have ever received complaints from customers.,
3401145,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,"The system is very user friendly, and the rates so far have been really great!",Positive
1001567,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Underwriters are very easy to work with,
21119,Customer Service Representative (CSR),Personal Lines,,,7,Detractor,Agree,"Easy to do business- easy to quote, never had an issue.   Likely to recommend Grange- rates are not competitive for most of my clients.",Positive
4497,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,9,Promoter,Agree,Ease of doing business,Positive
4101325,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,Grange's quoting system is easy to use and Grange usually has very great ratings. It is easy to sell to customers on a budget or customers that just want better coverage.,
48680,Principal,Personal Lines,Commercial Lines,Life,9,Promoter,Agree,Good company; don't always agree with guidelines; employees are very helpful.,Positive
4480,Principal,Personal Lines,,,10,Promoter,Strongly Agree,"Grange is by far, the most hands on, attentive carrier that we write for.",
4107,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Grange has competitive pricing and and easy to work in their system.,
2101428,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,"In general, your web site it reasonably simple to navigate.",Positive
48453,Producer,,Commercial Lines,,8,Promoter,Strongly Agree,I've had nothing but positive experiences with the Integrity staff.,
89,Customer Service Representative (CSR),,Commercial Lines,,6,Neutral,Agree,Grange has done a good job at making policy servicing easier.,Positive
48102,Customer Service Representative (CSR),,Commercial Lines,,8,Neutral,Neither Agree nor Disagree,Some of the policy enhancement forms on the General Liability do not always meet our clients needs,
1001574,Producer,Personal Lines,,,2,Detractor,Somewhat Disagree,Rates are not very competitive. Website is not very user friendly.,
4345,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,"out of all the companies I quote/write, I feel the most comfortable with Grange's products, their software and all the people I deal with on an on-going basis.",
1301450,Producer,Personal Lines,,,10,Promoter,Strongly Agree,easy to quote - easy to issue - easy to resolve any problems,
3701550,Producer,,,Life,8,Promoter,Agree,Great  customer service,Positive
22306,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Disagree,"You are without question our go-to carrier for quick, easy and competitive quotes!",
3401077,Principal,Personal Lines,,,8,Promoter,Somewhat Agree,i do not like the Build a quote button and was not a fan of bundling the coverage on the home.,
22097,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,underwriters are nice to due business with and very helpful,
3401671,Producer,Personal Lines,,,6,Detractor,Disagree,"I love the products and pricing that Grange offers. However, underwriting is not helpful in being flexible for a risk and helping them grow Granges written premium. They are not friendly and I do not have a relationship with them. Because of that, it is difficult to work with Grange.",
1201587,Producer,Personal Lines,Commercial Lines,,5,Neutral,Somewhat Agree,Grange's rates are not real competitive in the personal lines area.  We don't have a problem with Commercial but it's hard for us to place personal business with Grange :-(,
3402077,Producer,Personal Lines,,Life,10,Promoter,Somewhat Agree,GRANGE IS NOT VERY OFTEN PREMIUM COMPETITIVE ON AUTOS AND HOMES.,
3701169,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,That is how I feel about Grange.,
959,Principal,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,EODB!,
4584,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"Because the rating platform has a ease and flows well, and since I'm new to Grange I can appreciate that.",
3401359,Customer Service Representative (CSR),,Commercial Lines,,5,Neutral,Agree,"I truly like my underwriter, Abby Wiechart. She's very responsive!",Positive
4429,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,If our customers have a question with anything I have never had a problem with Grange. you all are awesome with Claims as well,Positive
21046,Customer Service Representative (CSR),,Commercial Lines,,10,Promoter,Strongly Agree,The underwriters are easy to deal with and respond quickly!,
1001514,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,I find working with the underwriters to be very helpful.  They look at my submissions quickly and let me know if they can apply any credits to make something more competitive when I need it:-),
1601007,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Somewhat Agree,pricing structure has made it difficult to keep our clients with Grange,
1001499,Customer Service Representative (CSR),Personal Lines,Commercial Lines,Life,6,Neutral,Somewhat Agree,The products are good.  The website it not the most user friendly,
1001001,Producer,Personal Lines,,,10,Promoter,Strongly Agree,"Software is user friendly for agents, especially the auto-fill portions!  Agent customer service is always fabulous!",
4530,Producer,Personal Lines,,Life,9,Promoter,Agree,"Well known, good rates, easy to use, and most of all, great underwriters",Positive
21060,Producer,Personal Lines,Commercial Lines,,8,Neutral,Agree,No problem with Grange except rates are usually higher than our other carriers,Pricing
2231,Producer,Personal Lines,,,10,Promoter,Agree,,
4091,Producer,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Grange consistently makes technology easy and takes care of our customers claims.,
3402047,Producer,Personal Lines,,,7,Neutral,Agree,I really like the quoting system and the rates have been great! I just recently switched to Grange for my own personal insurance as well.,Positive
4806,Customer Service Representative (CSR),Personal Lines,Commercial Lines,,8,Neutral,Agree,Grange is continually improving their product availability and website function,Positive
39001,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Agree,rates are good and user friendly website,Positive
1301784,Principal,Personal Lines,,,10,Promoter,Strongly Agree,System-Ease of use,
3401976,Customer Service Representative (CSR),Personal Lines,,Life,10,Promoter,Strongly Agree,easy website,
2101626,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,Rating systems are very user friendly,
21307,Customer Service Representative (CSR),,,Life,5,Neutral,Neither Agree nor Disagree,"Grange's home & auto is not competitively priced, and their life is not competitive, either, unless it's the final expense whole life.",
4144,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Agree,"The auto is really competitive, the home has become more competitive and the underwriting is usually very reasonable.",Positive
3401479,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,,
4475,Customer Service Representative (CSR),Personal Lines,,,8,Neutral,Agree,Pricing is often favorable compared to that of other carriers; website is easy to navigate,Positive
48429,Principal,Personal Lines,,,7,Promoter,Somewhat Agree,Because It has been easy doing business with Integrity except for situations where my clients have pools with a diving board and or a slide.  The quote site lets agents quote with these situations but it is an unacceptable risk by your underwritng standards. That needs to change.,
3401779,Principal,Personal Lines,Commercial Lines,,9,Promoter,Agree,easy quoting & issue process,Positive
2101460,Customer Service Representative (CSR),Personal Lines,,,9,Promoter,Strongly Agree,Great communication and quick response time with assist with questions,
48466,Principal,Personal Lines,,,8,Neutral,Somewhat Agree,"I am finding the rates are awesome, right now you are getting the biggest hit rates. I'm not at all happy with the billing though, most of my clients are mortgage billed and if they want an umbrella, the mortgage company gets billed for it. Makes for unhappy clients.",
3401907,Customer Service Representative (CSR),Personal Lines,,,9,Neutral,Agree,Not Difficult To Quote,Positive
3701070,Producer,Personal Lines,,Life,8,Detractor,Neither Agree nor Disagree,Seems like inspections turn up a lot of small issues that have to be dealt with. It also involves cancelation notices to insured's they don't like. Insured's feel the tone is rude and sets the wrong tone.,
4409,Principal,Personal Lines,,,8,Promoter,Strongly Disagree,ease of doing busuness,
22126,Producer,Personal Lines,,,3,Promoter,Somewhat Agree,Website is not that user friendly,
4501131,Principal,Personal Lines,,,9,Neutral,Somewhat Agree,-,
1201476,Principal,Personal Lines,,,9,Neutral,Agree,"The rates in my area have typically not been that competitive. With more competitive rates, we would write more business with Grange.",Pricing
4093,Principal,Personal Lines,Commercial Lines,Life,7,Neutral,Somewhat Agree,xxxx,
4501492,Producer,Personal Lines,Commercial Lines,,10,Promoter,Strongly Agree,Your system is very user friendly and the feedback is quick.,
4797,Customer Service Representative (CSR),,Commercial Lines,,9,Promoter,Agree,,
2101557,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Strongly Agree,Our underwriter is always there to help whenever we have a question (THANK YOU ALLISON).  The policy offerings and pricing are also very competitive.,
3401521,Principal,Personal Lines,Commercial Lines,Life,10,Promoter,Agree,"Overall, Grange is extremely easy to work with. The underwriters are knowledgeable and helpful with questions we may have. Inspections can occasionally be difficult to deal with on the home end and commercial property end.",Positive
6071,Producer,,Commercial Lines,,9,Promoter,Agree,Grange is easy for agents to go and quote and have competitive pricing,Positive
22404,Customer Service Representative (CSR),Personal Lines,,,6,Promoter,Agree,"Integrity underwriters have been excellent to work with. Dawn and Betty have helped a lot when it came to answering tough questions. Not only are the rates fantastic, but claims and customer service have been impressive.",Positive
21046,Producer,Personal Lines,,Life,9,Detractor,Disagree,Auto and home rates in Michigan have not been competitive in the last several years.  I have had clients in the past that were very dissatisfied with the claims service.,
3701448,Producer,Personal Lines,,,9,Neutral,Agree,The Grange underwriter Trevor is great to work with,Positive
1625,Customer Service Representative (CSR),Personal Lines,,,10,Promoter,Strongly Agree,"Friendly Staff, most issues are settled when you make the first call.",
3701108,Producer,,Commercial Lines,,10,Promoter,Strongly Agree,"Grange has always been easy to work with, and the system as an agent is easy. Claims are handled well, and billing is easy.",
